questions,answers,questions_with_answers,entity,image_ids
RT @MYBUCKETLlST : Beautiful Arctic River . http://t.co/T7yxmZcSNx Which word(s) correspond to the location in the sentence? ,Arctic River,RT @MYBUCKETLlST : Beautiful Arctic River . http://t.co/T7yxmZcSNx Which word(s) correspond to the location in the sentence? Answer: Arctic River,location,2058152.jpg
#Preds also sign forward Max Reinhart --&gt ; http://t.co/rO6TfwhvDD and D-man Conor Allen --&gt; http://t.co/RRnY02vwoE http://t.co/nphpupWGam Which word(s) correspond to the organization in the sentence? ,#Preds,#Preds also sign forward Max Reinhart --&gt ; http://t.co/rO6TfwhvDD and D-man Conor Allen --&gt; http://t.co/RRnY02vwoE http://t.co/nphpupWGam Which word(s) correspond to the organization in the sentence? Answer: #Preds,organization,506699.jpg
Cardinals wide receiver Michael Floyd has surgery on fingers http://t.co/wplSX22N5u http://t.co/Z3lT6IzJiL Which word(s) correspond to the organization in the sentence? ,Cardinals,Cardinals wide receiver Michael Floyd has surgery on fingers http://t.co/wplSX22N5u http://t.co/Z3lT6IzJiL Which word(s) correspond to the organization in the sentence? Answer: Cardinals,organization,421788.jpg
RT @McKinsey : Almost 70 % of the mobile connections in India and China are on 2G networks http://t.co/TNYFSRrAO9 http://t.co/RmeW5lEGta Which word(s) correspond to the location in the sentence? ,India,RT @McKinsey : Almost 70 % of the mobile connections in India and China are on 2G networks http://t.co/TNYFSRrAO9 http://t.co/RmeW5lEGta Which word(s) correspond to the location in the sentence? Answer: India,location,67868.jpg
RT @MarinaConcert : Marina meeting diamonds after the show tonight ! ! ! http://t.co/e4q6ywUlHB Which word(s) correspond to the person in the sentence? ,Marina,RT @MarinaConcert : Marina meeting diamonds after the show tonight ! ! ! http://t.co/e4q6ywUlHB Which word(s) correspond to the person in the sentence? Answer: Marina,person,65352.jpg
"Training done and presenting @SaferSurgery oximeters in Congo with @MercyShips . "" Thank you from bottom of our hearts "" http://t.co/rUGjbMSsw1 Which word(s) correspond to the location in the sentence? ",Congo,"Training done and presenting @SaferSurgery oximeters in Congo with @MercyShips . "" Thank you from bottom of our hearts "" http://t.co/rUGjbMSsw1 Which word(s) correspond to the location in the sentence? Answer: Congo",location,1019998.jpg
"http://t.co/IW82EF0ZFq Why rape ""works"" as oppression &amp; why the UN does not: interesting views from Madeleine... http://t.co/63Hf3IhT89 Which word(s) correspond to the location in the sentence? ",UN,"http://t.co/IW82EF0ZFq Why rape ""works"" as oppression &amp; why the UN does not: interesting views from Madeleine... http://t.co/63Hf3IhT89 Which word(s) correspond to the location in the sentence? Answer: UN",location,12842.jpg
RT @MrRedMartian : Yea Drake bout to end Meek career . http://t.co/nJcbnE5DSv Which word(s) correspond to the person in the sentence? ,Drake,RT @MrRedMartian : Yea Drake bout to end Meek career . http://t.co/nJcbnE5DSv Which word(s) correspond to the person in the sentence? Answer: Drake,person,710093.jpg
"CPD officer injured after vehicle flips at Ashland/Montrose . Intersection closed , avoid http://t.co/Slgvs8y2Nc Which word(s) correspond to the organization in the sentence? ",CPD,"CPD officer injured after vehicle flips at Ashland/Montrose . Intersection closed , avoid http://t.co/Slgvs8y2Nc Which word(s) correspond to the organization in the sentence? Answer: CPD",organization,73093.jpg
"RT @rappersaid : When Megan from Drake and Josh said , "" well why was ur door under my bucket "" http://t.co/bnRToQbgSa Which word(s) correspond to the person in the sentence? ",Megan,"RT @rappersaid : When Megan from Drake and Josh said , "" well why was ur door under my bucket "" http://t.co/bnRToQbgSa Which word(s) correspond to the person in the sentence? Answer: Megan",person,514053.jpg
Omg so hot . Nick is coming to provide me ac while we wait for aaa . #fuckasshot #fb http://t.co/YqZpfzqj3g Which word(s) correspond to the person in the sentence? ,Nick,Omg so hot . Nick is coming to provide me ac while we wait for aaa . #fuckasshot #fb http://t.co/YqZpfzqj3g Which word(s) correspond to the person in the sentence? Answer: Nick,person,636120.jpg
RT @iumedschool : CTSI leader Anantha Shekhar named research dean @iumedschool http://t.co/61e5mFWktK http://t.co/TppxW9Jp5q Which word(s) correspond to the organization in the sentence? ,CTSI,RT @iumedschool : CTSI leader Anantha Shekhar named research dean @iumedschool http://t.co/61e5mFWktK http://t.co/TppxW9Jp5q Which word(s) correspond to the organization in the sentence? Answer: CTSI,organization,627181.jpg
RT @skift : The Evolution of Anthony Bourdain ' s @PartsUnknownCNN http://t.co/c17jtmNBOW http://t.co/ri1Ux6pMzt Which word(s) correspond to the person in the sentence? ,Anthony Bourdain,RT @skift : The Evolution of Anthony Bourdain ' s @PartsUnknownCNN http://t.co/c17jtmNBOW http://t.co/ri1Ux6pMzt Which word(s) correspond to the person in the sentence? Answer: Anthony Bourdain,person,74576.jpg
Mahila morcha workers protesting against high level of crime against women in rajasthan . http://t.co/bYTRPZ52PP Which word(s) correspond to the misceallonous entity in the sentence? ,Mahila morcha,Mahila morcha workers protesting against high level of crime against women in rajasthan . http://t.co/bYTRPZ52PP Which word(s) correspond to the misceallonous entity in the sentence? Answer: Mahila morcha,misceallonous entity,1075133.jpg
RT @FCBarcelona : From Zarra to Messi : The legend continues http://t.co/CRtSVsKs5g http://t.co/pLMSstF1Js Which word(s) correspond to the person in the sentence? ,Zarra,RT @FCBarcelona : From Zarra to Messi : The legend continues http://t.co/CRtSVsKs5g http://t.co/pLMSstF1Js Which word(s) correspond to the person in the sentence? Answer: Zarra,person,149206.jpg
"RT @CorcAP _ DC : . @emmascott talks about her New Orleans story of rebuilding , "" Along the Road Home . "" http://t.co/QHY8RpRkBH Which word(s) correspond to the location in the sentence? ",New Orleans,"RT @CorcAP _ DC : . @emmascott talks about her New Orleans story of rebuilding , "" Along the Road Home . "" http://t.co/QHY8RpRkBH Which word(s) correspond to the location in the sentence? Answer: New Orleans",location,590923.jpg
The church is about people helping to create a generation and generations to follow that serve Christ ! @GeorgeOWood http://t.co/zgWv6UqET2 Which word(s) correspond to the person in the sentence? ,Christ,The church is about people helping to create a generation and generations to follow that serve Christ ! @GeorgeOWood http://t.co/zgWv6UqET2 Which word(s) correspond to the person in the sentence? Answer: Christ,person,91851.jpg
Dhakmar at Upper Mustang trekking http://t.co/sF0cfkiVXp Which word(s) correspond to the person in the sentence? ,Dhakmar,Dhakmar at Upper Mustang trekking http://t.co/sF0cfkiVXp Which word(s) correspond to the person in the sentence? Answer: Dhakmar,person,663288.jpg
"RT @jessefelder : Ray Dalio on the markets , economy and Fed : http://t.co/4Cfy9urZMV http://t.co/QrQcrWWR2S Which word(s) correspond to the person in the sentence? ",Ray Dalio,"RT @jessefelder : Ray Dalio on the markets , economy and Fed : http://t.co/4Cfy9urZMV http://t.co/QrQcrWWR2S Which word(s) correspond to the person in the sentence? Answer: Ray Dalio",person,37908.jpg
RT @alanstourhead : Dawn at Stourhead ! Have a good day . http://t.co/P4djTLzTtX Which word(s) correspond to the location in the sentence? ,Stourhead,RT @alanstourhead : Dawn at Stourhead ! Have a good day . http://t.co/P4djTLzTtX Which word(s) correspond to the location in the sentence? Answer: Stourhead,location,114526.jpg
Creative conceptual photography by Curtis Johnson http://t.co/tfUtoKTVBa http://t.co/QIpMiUt8M4 Which word(s) correspond to the person in the sentence? ,Curtis Johnson,Creative conceptual photography by Curtis Johnson http://t.co/tfUtoKTVBa http://t.co/QIpMiUt8M4 Which word(s) correspond to the person in the sentence? Answer: Curtis Johnson,person,1993030.jpg
JJ Watt RT @nflnetwork : Who should win MVP this season ? Coming up on #GameDayFirst . http://t.co/jq8PjUS08Y Which word(s) correspond to the person in the sentence? ,JJ Watt,JJ Watt RT @nflnetwork : Who should win MVP this season ? Coming up on #GameDayFirst . http://t.co/jq8PjUS08Y Which word(s) correspond to the person in the sentence? Answer: JJ Watt,person,13932.jpg
ROCK CITY ! ! ! THANK YOU DETROIT ! ! ! http://t.co/OI0xfDeash Which word(s) correspond to the location in the sentence? ,DETROIT,ROCK CITY ! ! ! THANK YOU DETROIT ! ! ! http://t.co/OI0xfDeash Which word(s) correspond to the location in the sentence? Answer: DETROIT,location,351616.jpg
RT @fckali : Jack O ' Connell went from baby to daddy in like 0 . 02 secs http://t.co/QMUZXfjT8t Which word(s) correspond to the person in the sentence? ,Jack,RT @fckali : Jack O ' Connell went from baby to daddy in like 0 . 02 secs http://t.co/QMUZXfjT8t Which word(s) correspond to the person in the sentence? Answer: Jack,person,72035.jpg
RT @Bipartisanism : This grandma has a message for Indiana lawmakers . #BoycottIndiana http://t.co/egNJLOH7FJ Which word(s) correspond to the location in the sentence? ,Indiana,RT @Bipartisanism : This grandma has a message for Indiana lawmakers . #BoycottIndiana http://t.co/egNJLOH7FJ Which word(s) correspond to the location in the sentence? Answer: Indiana,location,114191.jpg
RT @CoachGZimmerman : Varnell and Brodsky competing in regional tennis #DSHStennis http://t.co/SEkDh9vCS0 Which word(s) correspond to the person in the sentence? ,Varnell,RT @CoachGZimmerman : Varnell and Brodsky competing in regional tennis #DSHStennis http://t.co/SEkDh9vCS0 Which word(s) correspond to the person in the sentence? Answer: Varnell,person,1483703.jpg
"Children were part of history in #Selma , 1965 : http://t.co/XyBMzbTjC9 http://t.co/4S1lkBpnuw #OccupySELMA Which word(s) correspond to the location in the sentence? ",#Selma,"Children were part of history in #Selma , 1965 : http://t.co/XyBMzbTjC9 http://t.co/4S1lkBpnuw #OccupySELMA Which word(s) correspond to the location in the sentence? Answer: #Selma",location,1042378.jpg
RT @90sfootball : Miguel Angel Nadal poses with his nephew and future tennis star Rafael Nadal . http://t.co/9DYpcVwuAK Which word(s) correspond to the person in the sentence? ,Miguel Nadal Angel,RT @90sfootball : Miguel Angel Nadal poses with his nephew and future tennis star Rafael Nadal . http://t.co/9DYpcVwuAK Which word(s) correspond to the person in the sentence? Answer: Miguel Nadal Angel,person,90044.jpg
"RT @Samantha _ Brophy : "" @EarthPicsx : Tulip fields in Holland . http://t.co/wiQL55OmrJ"" @janelleeevb Which word(s) correspond to the misceallonous entity in the sentence? ",Tulip,"RT @Samantha _ Brophy : "" @EarthPicsx : Tulip fields in Holland . http://t.co/wiQL55OmrJ"" @janelleeevb Which word(s) correspond to the misceallonous entity in the sentence? Answer: Tulip",misceallonous entity,15850.jpg
RT @PhxKen : AWESOME QUOTE BY CARTER G . WOODSON . . . . WANT OUT OF THE BLACK GHETTO ? ? READ THIS http://t.co/GqsfioakTe Which word(s) correspond to the person in the sentence? ,CARTER WOODSON,RT @PhxKen : AWESOME QUOTE BY CARTER G . WOODSON . . . . WANT OUT OF THE BLACK GHETTO ? ? READ THIS http://t.co/GqsfioakTe Which word(s) correspond to the person in the sentence? Answer: CARTER WOODSON,person,1140731.jpg
RT @allkpop : G-Dragon explains why he has no photos of himself in his home http://t.co/j6QYYhwCJg http://t.co/3ZXuytxRf9 Which word(s) correspond to the person in the sentence? ,G-Dragon,RT @allkpop : G-Dragon explains why he has no photos of himself in his home http://t.co/j6QYYhwCJg http://t.co/3ZXuytxRf9 Which word(s) correspond to the person in the sentence? Answer: G-Dragon,person,1008498.jpg
RT @FearInSociety : Father of Miss Bakari who was the victim of the #McKinney incident . Never stop RTing this http://t.co/7YZnZRVy6y Which word(s) correspond to the person in the sentence? ,Bakari,RT @FearInSociety : Father of Miss Bakari who was the victim of the #McKinney incident . Never stop RTing this http://t.co/7YZnZRVy6y Which word(s) correspond to the person in the sentence? Answer: Bakari,person,916718.jpg
RT @nytimes : It started with poor defending by Brazil on a corner kick in the 10th minute . http://t.co/sdIX9ee1Hw http://t.co/HwKp94qQW9 Which word(s) correspond to the location in the sentence? ,Brazil,RT @nytimes : It started with poor defending by Brazil on a corner kick in the 10th minute . http://t.co/sdIX9ee1Hw http://t.co/HwKp94qQW9 Which word(s) correspond to the location in the sentence? Answer: Brazil,location,904460.jpg
RT @logan _ bik : Donald Trump and his son look like the type of people who go purging . http://t.co/D0TCMfbNus Which word(s) correspond to the person in the sentence? ,Donald Trump,RT @logan _ bik : Donald Trump and his son look like the type of people who go purging . http://t.co/D0TCMfbNus Which word(s) correspond to the person in the sentence? Answer: Donald Trump,person,21710.jpg
"RT @BBCOne : Dear Madonna , THIS is how you wear a cape . #Poldark #Demelza http://t.co/k9zs5onDeI Which word(s) correspond to the person in the sentence? ",Madonna,"RT @BBCOne : Dear Madonna , THIS is how you wear a cape . #Poldark #Demelza http://t.co/k9zs5onDeI Which word(s) correspond to the person in the sentence? Answer: Madonna",person,798937.jpg
@mario _ guano : Photo by Bettina Rheims http://t.co/ddgHfc2jbW Which word(s) correspond to the person in the sentence? ,Bettina Rheims,@mario _ guano : Photo by Bettina Rheims http://t.co/ddgHfc2jbW Which word(s) correspond to the person in the sentence? Answer: Bettina Rheims,person,829312.jpg
Grammar is the piano I play by ear . All I know about grammar is its infinite power . Joan Didion #amwriting #writing http://t.co/Pg4HuyHgd3 Which word(s) correspond to the person in the sentence? ,Joan Didion,Grammar is the piano I play by ear . All I know about grammar is its infinite power . Joan Didion #amwriting #writing http://t.co/Pg4HuyHgd3 Which word(s) correspond to the person in the sentence? Answer: Joan Didion,person,734792.jpg
"#FIFA2014 hair ! This style was created by the Orenorkobi Artistic Team , who are based in Tel Aviv , Israel #WellaHair http://t.co/5k6yznbSuK Which word(s) correspond to the misceallonous entity in the sentence? ",Orenorkobi Team Artistic,"#FIFA2014 hair ! This style was created by the Orenorkobi Artistic Team , who are based in Tel Aviv , Israel #WellaHair http://t.co/5k6yznbSuK Which word(s) correspond to the misceallonous entity in the sentence? Answer: Orenorkobi Team Artistic",misceallonous entity,1387195.jpg
RT @VansPorns : Daisy http://t.co/zSkHIXz9oS Which word(s) correspond to the person in the sentence? ,Daisy,RT @VansPorns : Daisy http://t.co/zSkHIXz9oS Which word(s) correspond to the person in the sentence? Answer: Daisy,person,72700.jpg
